size,seed,executions,solutions,leftmost.first.assumptions,leftmost.first.runtime,leftmost.first.walltime,leftmost.all.runtime,leftmost.all.walltime,ff.first.assumptions,ff.first.runtime,ff.first.walltime,ff.all.runtime,ff.all.walltime,ffc.first.assumptions,ffc.first.runtime,ffc.first.walltime,ffc.all.runtime,ffc.all.walltime
0,0,100,1,0,0,2,16,4,0,0,2,0,5,0,15,2,0,4
0,1,100,1,0,0,3,16,4,0,0,3,0,4,0,0,3,16,4
0,2,100,1,0,0,3,0,4,0,0,3,0,4,0,0,3,0,4
0,3,100,1,0,0,3,0,4,0,0,2,15,4,0,0,3,0,4
0,4,100,1,0,0,3,16,4,0,0,3,0,4,0,15,3,0,4
0,5,100,1,0,0,2,16,4,0,0,2,0,4,0,0,3,0,4
0,6,100,1,0,0,2,0,4,0,0,2,0,4,0,0,2,0,4
0,7,100,1,0,0,2,0,4,0,0,2,16,4,0,0,2,0,4
0,8,100,1,0,0,3,15,4,0,0,3,0,4,0,0,3,16,4
0,9,100,1,0,0,2,0,3,0,0,2,0,4,0,0,2,0,3
1,0,100,1,0,0,8,15,10,0,16,8,0,10,0,16,8,15,11
1,1,100,1,0,16,9,0,10,0,15,9,16,10,0,0,9,16,11
1,2,100,1,0,15,9,0,10,0,0,8,16,10,0,0,9,15,11
1,3,100,1,0,16,9,16,10,0,0,9,15,10,0,0,9,0,11
1,4,100,1,0,0,9,16,11,0,15,9,0,10,0,16,9,16,11
1,5,100,1,0,0,9,15,11,0,16,9,15,10,0,0,9,16,10
1,6,100,1,0,16,8,0,11,0,0,8,16,10,0,0,8,15,10
1,7,100,1,0,16,9,16,10,0,0,9,15,11,0,16,9,0,11
1,8,100,1,0,0,9,15,11,0,16,9,0,10,0,16,9,15,10
1,9,100,1,0,0,8,0,11,0,16,8,15,10,0,0,9,16,10
2,0,100,1,1,16,15,31,23,1,15,15,16,23,1,16,15,31,23
2,1,100,1,1,15,14,32,23,1,15,15,16,22,1,15,14,32,23
2,2,100,1,1,0,18,31,22,1,16,15,16,22,1,15,15,16,22
2,3,100,1,1,15,15,16,23,1,16,14,31,22,1,15,14,16,23
2,4,100,1,1,16,15,15,22,1,16,14,31,22,1,16,14,15,22
2,5,100,1,1,16,15,31,22,1,16,14,15,23,1,16,15,31,22
2,6,100,1,1,16,15,31,23,1,15,15,16,23,1,32,146,16,23
2,7,100,1,1,15,15,16,22,1,15,15,32,22,1,15,15,16,22
2,8,100,1,1,15,15,32,22,1,15,15,31,26,1,16,15,16,22
2,9,100,1,1,15,14,31,22,1,16,14,16,23,1,15,14,31,23
4,0,100,1,1,32,30,62,58,1,31,30,63,57,1,31,30,47,58
